"We apologize, but requested quantity of free gift <strong>%1</strong> is not available at the moment","We apologize, but requested quantity of free gift <strong>%1</strong> is not available at the moment"
"Free gift <strong>%1</strong> was added to your shopping cart","Free gift <strong>%1</strong> was added to your shopping cart"
"We apologize, but products of type <strong>%1</strong> are not supported","We apologize, but products of type <strong>%1</strong> are not supported"
"We apologize, but your free gift <strong>%1</strong> is not available at the moment","We apologize, but your free gift <strong>%1</strong> is not available at the moment"
"Cart contents","Cart contents"
"Product page","Product page"
"One By One","One By One"
Multiple,Multiple
"""\n"" .","""\n"" ."
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"greater than","greater than"
"less than","less than"
"Quantity in Stock","Quantity in Stock"
Weight,Weight
"Auto add promo items with products","Auto add promo items with products"
"Auto add promo items for the whole cart","Auto add promo items for the whole cart"
"Auto add the same product","Auto add the same product"
"Auto add promo items for every $X spent","Auto add promo items for every $X spent"
sample,sample
"Select all","Select all"
"Unselect all","Unselect all"
" left"," left"
"Add to cart","Add to cart"
"Free Items: ","Free Items: "
"Free Items","Free Items"
"Choose an Option...","Choose an Option..."
"Free Gift","Free Gift"
General,General
"Add Simple/Virtual/Downloadable Products Automatically, Without Confirmation","Add Simple/Virtual/Downloadable Products Automatically, Without Confirmation"
"Products will be added automatically only if there are no options to specify","Products will be added automatically only if there are no options to specify"
"Messages And Notifications Settings","Messages And Notifications Settings"
"Gifts Selection Method","Gifts Selection Method"
"Message For The Free Item In The Cart","Message For The Free Item In The Cart"
"Prefix For The Free Item Name In The Order","Prefix For The Free Item Name In The Order"
"Add Free Gift Message","Add Free Gift Message"
"Open Popup Automatically","Open Popup Automatically"
"Always open free gift popup on cart page if any free gift is available","Always open free gift popup on cart page if any free gift is available"
"Show Original Price in the Popup","Show Original Price in the Popup"
"Display Error Messages","Display Error Messages"
"Display Success Messages","Display Success Messages"
"Display Remaining Gifts Counter","Display Remaining Gifts Counter"
"Reminder about Available Promos","Reminder about Available Promos"
"Notification Message","Notification Message"
Limitations,Limitations
"Do not Offer Promos for Products with Special Price","Do not Offer Promos for Products with Special Price"
"Do not Offer Promos for Configurable Products when Child has Special Price","Do not Offer Promos for Configurable Products when Child has Special Price"
"Product Page Banners","Product Page Banners"
"Validate condition based on","Validate condition based on"
"Enable Top Banners","Enable Top Banners"
"Enable After Product Description Banner","Enable After Product Description Banner"
"Show One Banner Only","Show One Banner Only"
"Please select `No` to show all banners from matched rules.","Please select `No` to show all banners from matched rules."
"Gift Images","Gift Images"
"Gift Image Width (px)","Gift Image Width (px)"
"Gift Image Height (px)","Gift Image Height (px)"
"Product Attribute for Header","Product Attribute for Header"
"Product Attribute for Description","Product Attribute for Description"
"Promo Items","Promo Items"
"Comma separated list of the SKUs","Comma separated list of the SKUs"
Type,Type
"All SKUs below","All SKUs below"
"One of the SKUs below","One of the SKUs below"
"Promo Items With Discount","Promo Items With Discount"
"Promo Items Discount","Promo Items Discount"
"
                        Set fixed price (e.g. 20), fixed discount (e.g. -20)
                        or a percent discount (e.g. 50%). Leave empty if you want to add product for free.
                    ","
                        Set fixed price (e.g. 20), fixed discount (e.g. -20)
                        or a percent discount (e.g. 50%). Leave empty if you want to add product for free.
                    "
"Minimal Price","Minimal Price"
"Top Banner","Top Banner"
Image,Image
Alt,Alt
"On Hover Text","On Hover Text"
Link,Link
"Show Gift images","Show Gift images"
"After Product Description Banner","After Product Description Banner"
"Product Label","Product Label"
