"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Address","Address"
"An error occurred while deleting record(s).","An error occurred while deleting record(s)."
"City","City"
"Comments","Comments"
"Company","Company"
"Contact %1","Contact %1"
"Contact Information","Contact Information"
"Contact to delete was not found.","Contact to delete was not found."
"Contact","Contact"
"Contacts","Contacts"
"Create New Contact","Create New Contact"
"Delete Contact","Delete Contact"
"Edit Contact '%1'","Edit Contact '%1'"
"Email Address","Email Address"
"Fax","Fax"
"First Name","First Name"
"ID","ID"
"Last Name","Last Name"
"New Contact","New Contact"
"Phone","Phone"
"Please Do NOT Add Me To The Ray Allen Mailing List","Please Do NOT Add Me To The Ray Allen Mailing List"
"Please Select Contacts.","Please Select Contacts."
"Position","Position"
"Postal Code","Postal Code"
"Save Contact","Save Contact"
"Save and Continue Edit","Save and Continue Edit"
"Something went wrong while saving the Contact.","Something went wrong while saving the Contact."
"State","State"
"The Contact has been deleted.","The Contact has been deleted."
"The Contact has been saved.","The Contact has been saved."
"This Contact no longer exists.","This Contact no longer exists."
"Website","Website"
