"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"An error occurred while deleting record(s).","An error occurred while deleting record(s)."
"Create New Over Size Ship","Create New Over Size Ship"
"Delete Over Size Ship","Delete Over Size Ship"
"Edit Over Size Ship '%1'","Edit Over Size Ship '%1'"
"ID","ID"
"New Over Size Ship","New Over Size Ship"
"Over Size Ship %1","Over Size Ship %1"
"Over Size Ship Information","Over Size Ship Information"
"Over Size Ship to delete was not found.","Over Size Ship to delete was not found."
"Over Size Ship","Over Size Ship"
"Please Select Over Size Ship.","Please Select Over Size Ship."
"Price","Price"
"Save Over Size Ship","Save Over Size Ship"
"Save and Continue Edit","Save and Continue Edit"
"Sku","Sku"
"Something went wrong while saving the Over Size Ship.","Something went wrong while saving the Over Size Ship."
"The Over Size Ship has been deleted.","The Over Size Ship has been deleted."
"The Over Size Ship has been saved.","The Over Size Ship has been saved."
"This Over Size Ship no longer exists.","This Over Size Ship no longer exists."
